Longitude,Latitude
-88.0757,30.2516
-88.0750,30.2470
-88.0798,30.2446
-88.1099,30.2420
-88.1202,30.2459
-88.1406,30.2489
-88.1769,30.2483
-88.2244,30.2418
-88.2806,30.2301
-88.3065,30.2279
NaN,NaN
NaN,NaN
-114.0498,37.0004
-113.4844,37.0000
-112.8986,37.0004
-112.5396,37.0007
-112.0000,37.0010
-111.4120,37.0015
-111.1330,37.0008
-110.7500,37.0032
-110.5000,37.0043
-110.4695,36.9980
-110.0000,36.9980
-109.0446,36.9991
-109.0453,36.0023
-109.0452,34.9597
-109.0455,34.5793
-109.0463,33.7782
-109.0466,33.2089
-109.0465,32.7775
-109.0470,32.4263
-109.0494,31.3324
-110.0000,31.3330
-110.2638,31.3331
-110.4595,31.3334
-111.0742,31.3321
-111.0744,31.3322
-111.3659,31.4260
-112.9692,31.9257
-113.3330,32.0390
-113.4036,32.0609
-114.8128,32.4942
-114.8115,32.5000
-114.8132,32.5031
-114.8135,32.5079
-114.8069,32.5087
-114.8052,32.5101
-114.8033,32.5103
-114.8033,32.5116
-114.8014,32.5131
-114.8029,32.5163
-114.8033,32.5164
-114.8033,32.5164
-114.8091,32.5179
-114.8126,32.5241
-114.8014,32.5364
-114.8036,32.5424
-114.8032,32.5472
-114.7930,32.5523
-114.7926,32.5530
-114.7924,32.5531
-114.7924,32.5536
-114.7908,32.5570
-114.7921,32.5668
-114.7920,32.5693
-114.7924,32.5690
-114.7924,32.5694
-114.7963,32.5664
-114.8077,32.5587
-114.8084,32.5587
-114.8130,32.5633
-114.8122,32.5687
-114.8011,32.5760
-114.8016,32.5775
-114.8007,32.5782
-114.8025,32.5804
-114.8031,32.5824
-114.8031,32.5828
-114.7989,32.5921
-114.8008,32.5985
-114.8016,32.5991
-114.8016,32.5993
-114.8073,32.6031
-114.8061,32.6202
-114.7992,32.6246
-114.7983,32.6250
-114.7904,32.6218
-114.7901,32.6219
-114.7900,32.6218
-114.7895,32.6220
-114.7818,32.6243
-114.7817,32.6253
-114.7812,32.6256
-114.7784,32.6335
-114.7636,32.6426
-114.7637,32.6438
-114.7625,32.6446
-114.7641,32.6485
-114.7641,32.6488
-114.7499,32.6602
-114.7494,32.6612
-114.7487,32.6617
-114.7482,32.6635
-114.7188,32.7187
-114.7137,32.7303
-114.7008,32.7456
-114.6877,32.7375
-114.6169,32.7282
-114.6148,32.7284
-114.6143,32.7345
-114.5810,32.7349
-114.5810,32.7423
-114.5637,32.7423
-114.5637,32.7495
-114.5384,32.7498
-114.5383,32.7569
-114.5261,32.7570
-114.5316,32.7769
-114.5288,32.7954
-114.5094,32.8164
-114.4934,32.8232
-114.4682,32.8451
-114.4621,32.9058
-114.4632,32.9124
-114.4759,32.9236
-114.4800,32.9336
-114.4794,32.9379
-114.4673,32.9552
-114.4678,32.9716
-114.4758,32.9751
-114.4878,32.9699
-114.4922,32.9717
-114.5005,33.0075
-114.5072,33.0197
-114.5157,33.0276
-114.5303,33.0324
-114.5709,33.0366
-114.5775,33.0353
-114.5840,33.0282
-114.5890,33.0262
-114.6180,33.0272
-114.6275,33.0310
-114.6388,33.0453
-114.6452,33.0489
-114.6570,33.0338
-114.6615,33.0326
-114.6729,33.0419
-114.6735,33.0571
-114.6862,33.0709
-114.6882,33.0840
-114.7039,33.0870
-114.7070,33.0911
-114.7054,33.1053
-114.6960,33.1312
-114.6863,33.1422
-114.6786,33.1595
-114.6795,33.1697
-114.6746,33.1855
-114.6780,33.2034
-114.6728,33.2231
-114.6888,33.2464
-114.6713,33.2585
-114.6797,33.2735
-114.6937,33.2798
